event_id,time_seconds,category
1,0.13112604714418108,synthetic_03
2,0.45563632171643498,synthetic_01
3,1.4117439978245994,synthetic_01
4,1.5067001151395365,synthetic_01
5,1.7228438839420823,synthetic_01
6,2.6599238121198021,synthetic_03
7,2.6982082113991113,synthetic_02
8,2.9136383386357823,synthetic_02
9,3.1725120090773329,synthetic_02
10,3.9126776376468442,synthetic_02
11,4.5668243326034137,synthetic_01
12,6.168582537077949,synthetic_01
13,6.6211196624757385,synthetic_02
14,8.215116578135639,synthetic_02
15,9.4197701856406866,synthetic_03
16,10.361858002220236,synthetic_04
17,10.418827986244072,synthetic_02
18,10.596650239721406,synthetic_02
19,10.906357419931156,synthetic_03
20,13.133844360635882,synthetic_02
21,13.364964569732207,synthetic_02
22,13.832404393783815,synthetic_02
23,14.246396293905361,synthetic_04
24,14.4663612719929,synthetic_03
25,14.721786273799054,synthetic_04
26,15.481340554869572,synthetic_02
27,16.680773036683625,synthetic_05
28,17.002373187378772,synthetic_03
29,17.460781579753192,synthetic_05
30,18.191579362346864,synthetic_05
31,18.727700539512647,synthetic_03
32,19.203894087329044,synthetic_03
33,19.659319730648317,synthetic_04
34,19.892221595973425,synthetic_03
35,19.913975619218537,synthetic_05
36,19.959491843615695,synthetic_05
37,20.320169258969266,synthetic_05
38,20.426306846383724,synthetic_04
39,20.679124132941705,synthetic_05
40,20.706386802492961,synthetic_05
41,21.480570373279871,synthetic_05
42,22.038016008535788,synthetic_05
43,23.475961741704687,synthetic_05
44,23.961694479590069,synthetic_04
45,24.261493875272244,synthetic_04
46,24.478370862662434,synthetic_04
47,25.614387636386326,synthetic_05
48,25.671519595967396,synthetic_04
49,26.22154585574199,synthetic_06
50,27.499425463480776,synthetic_05
51,27.853061771740805,synthetic_05
52,28.769380678233624,synthetic_04
53,28.90727720525571,synthetic_06
54,29.016902007436983,synthetic_05
55,30.270528633782078,synthetic_04
56,32.711965977910765,synthetic_05
57,33.418131518857408,synthetic_07
58,33.671490243004854,synthetic_06
59,34.466720463157309,synthetic_07
60,34.768918308284334,synthetic_07
61,36.073970591621354,synthetic_07
62,36.328423234197004,synthetic_06
63,36.457358845622878,synthetic_05
64,36.561051697450367,synthetic_05
65,37.100019780698055,synthetic_05
66,37.486885512496805,synthetic_05
67,37.783562547938089,synthetic_07
68,38.806837956999516,synthetic_06
69,38.840722853160081,synthetic_05
70,39.823437055927677,synthetic_06
71,41.036630539185246,synthetic_08
72,41.435986354202882,synthetic_08
73,42.894054062896423,synthetic_08
74,42.934431980659305,synthetic_06
75,43.500402361297255,synthetic_08
76,44.098472809396995,synthetic_06
77,44.959662536785139,synthetic_08
78,45.060702318810243,synthetic_07
79,45.301908377521784,synthetic_07
80,45.501261614747321,synthetic_07
81,45.600097163350974,synthetic_07
82,47.169493267234216,synthetic_08
83,47.96868032251426,synthetic_07
84,48.663417294457112,synthetic_09
85,48.766288538089022,synthetic_09
86,48.908878981554672,synthetic_09
87,48.916861275646184,synthetic_08
88,49.249557437943004,synthetic_08
89,49.631459830893036,synthetic_08
90,49.753344019454929,synthetic_09
91,49.763271360214368,synthetic_07
92,50.350750077614101,synthetic_08
93,50.378939981146885,synthetic_08
94,50.390489873355591,synthetic_07
95,50.588653358545812,synthetic_08
96,50.654592126697487,synthetic_07
97,50.755581604086167,synthetic_07
98,50.898569165706242,synthetic_08
99,51.398590129988996,synthetic_08
100,52.178217780509058,synthetic_07
101,52.312232607416476,synthetic_08
102,52.496689893807137,synthetic_08
103,52.89789608436103,synthetic_07
104,52.909469232999015,synthetic_08
105,53.227892476610265,synthetic_07
106,53.283631947219135,synthetic_07
107,53.489833453556237,synthetic_07
108,53.688856587860279,synthetic_09
109,54.039177028510522,synthetic_07
110,56.020255681114008,synthetic_10
111,56.996324580254964,synthetic_09
112,57.677486073190423,synthetic_08
113,57.988316786848351,synthetic_08
114,60.252650978184228,synthetic_08
115,61.130278846683709,synthetic_09
116,61.148614293747947,synthetic_09
117,62.746510478582195,synthetic_09
118,63.012887534535899,synthetic_08
119,63.215273974454824,synthetic_08
120,63.284183317258261,synthetic_09
121,63.504926938993357,synthetic_08
122,63.593710905453179,synthetic_09
123,63.71860441882955,synthetic_09
124,63.920979156440147,synthetic_10
125,64.059955983352978,synthetic_09
126,64.595548979887269,synthetic_09
127,65.378658925630504,synthetic_10
128,65.917612127137957,synthetic_10
129,66.040486663645865,synthetic_11
130,66.319428905930494,synthetic_09
131,66.325900941814268,synthetic_09
132,66.739205511700689,synthetic_10
133,71.858156627991875,synthetic_11
134,72.043217520506346,synthetic_12
135,72.9555121982483,synthetic_10
136,73.146732821294293,synthetic_10
137,73.878397749221264,synthetic_10
138,74.22234452171466,synthetic_12
139,74.228082353102138,synthetic_10
140,74.449346956935742,synthetic_11
141,74.473714388871301,synthetic_11
142,74.774451539731785,synthetic_11
143,74.77817086047375,synthetic_12
144,75.801648226364364,synthetic_12
145,75.896813745122856,synthetic_11
146,76.514912524371198,synthetic_12
147,76.569706145850077,synthetic_12
148,76.621376004459563,synthetic_11
149,77.1222525829603,synthetic_11
150,77.445050497746522,synthetic_12
151,77.656019592878195,synthetic_10
152,78.173763747389273,synthetic_10
153,78.227146764875016,synthetic_12
154,78.290730625478815,synthetic_10
155,79.926308487231296,synthetic_11
156,81.062950178903932,synthetic_12
157,82.121016274648881,synthetic_11
158,82.131954746996243,synthetic_12
159,82.556119140171631,synthetic_01
160,82.78412438044505,synthetic_12
161,82.876312007062623,synthetic_01
