seed,accepted,objective,chord_set_cost,roughness_proxy,melody_leap_cost,register_cost,evaluation
1701,721,0.10046906174611092,0.04411812193231721,0.028045464845045474,0.3744250298685783,0.037578709700633275,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
1723,738,0.10358206388464025,0.05158518470679411,0.05878258944103856,0.2767323775388292,0.014427713010938398,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
1741,924,0.10096057931809585,0.04826937483854301,0.051383168985612536,0.2994100955794504,0.016838028929188256,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3001,817,0.0996100496635762,0.04918238181348488,0.03368830935947332,0.3124925328554361,0.035275888744962576,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3002,901,0.09756669966138726,0.04912102815809868,0.04184381406397835,0.2739620669056153,0.0377134906927653,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3003,977,0.1037515410124405,0.0464142340480496,0.053939795043460005,0.3372685185185185,0.008539327864133563,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3004,844,0.09680457768416209,0.04974192715060707,0.036391924853773155,0.2790994623655914,0.033164219919401265,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3005,850,0.09882983555507059,0.04618354430379745,0.04205983511970985,0.31816009557945046,0.02311411557282671,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3006,864,0.10287159834010273,0.049305734952208725,0.03266376286399499,0.3280540621266428,0.05500308841872961,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3007,752,0.09832936867892886,0.05101853526220614,0.035121272689715585,0.2820041816009558,0.03667437272116676,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3008,861,0.09812464749407832,0.05077047274606044,0.0366267592122032,0.28145908004778974,0.03238821723277682,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3009,881,0.09953401763720694,0.0506850942908809,0.05347434090600021,0.2622983870967742,0.016635182786413356,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3010,793,0.10024939312047998,0.05220569620253163,0.048650927500805644,0.2603046594982079,0.027648244099021297,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3011,874,0.10195678957212383,0.04946221906484112,0.056975504192268066,0.2821908602150538,0.01923770029744771,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3012,912,0.1018416551200296,0.049878907259106174,0.04673853830093564,0.30058243727598566,0.02339117371905584,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3013,729,0.09872073250517702,0.04828732885559286,0.025725701142072763,0.2700194145758662,0.1289170444732297,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3014,779,0.09817955676884359,0.04561056574528544,0.044557528562131965,0.3167786738351255,0.014853644933793896,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3015,815,0.09713848973773313,0.049566261947817096,0.04579628390338115,0.26749551971326163,0.021673503166378814,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3016,796,0.09792731933124241,0.04547138982175147,0.03248850258639547,0.32103494623655915,0.05231481481481482,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3017,834,0.10327079213169892,0.04997526478946008,0.04175110410344957,0.3296072281959379,0.015216609096142773,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3018,850,0.09820870263485856,0.046963187806768274,0.04100621433247146,0.313971027479092,0.015839090385722506,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3019,909,0.09885232350444681,0.045565874451046234,0.05142230824858458,0.3070713859020311,0.012639878382268278,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3020,839,0.09699363464696385,0.050588736760526984,0.03896038228629052,0.27115442054958183,0.027228159182498556,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."
3021,833,0.09966440549945804,0.049133169723585626,0.03304371869412321,0.3144190561529271,0.036097917866052584,"Same target excerpt, .08-second grid with .32-second and 1.5-second support. Design proxies, not measured liking or held-out performance."

