id,replicate,X,Y
bach,0,80.12484714240763,76.9533154799018
bach,1,77.5043973800273,74.89597276581536
bach,2,78.03783772543566,77.2682680269735
bach,3,79.40560436021079,74.28642241365306
bach,4,76.47914699051692,72.43608039198219
bach,5,78.2837366743568,76.12222110133868
bach,6,77.63982861798634,76.68421659927014
bach,7,77.51133819517871,75.34119996695803
bach,8,76.65506166172578,74.78377964095154
bach,9,76.16578627284977,75.93498428899439
bach,10,77.95230779385246,74.33672318231189
bach,11,76.00206027077076,76.70603263594509
bach,12,78.66958125562833,75.00968771399212
bach,13,79.94194928726301,76.98022560286724
bach,14,80.30074328946408,77.37404504980549
bach,15,77.08482881790371,75.79710799449686
bach,16,77.72239863132496,74.76924894852218
bach,17,80.76332753258733,76.75942385509339
bach,18,81.31007819686063,77.05795203280191
bach,19,75.6391042126664,73.34042691937212
bach,20,74.44837128263086,79.04891087602071
bach,21,78.34339750098978,76.21187690087983
bach,22,74.95647178926765,78.2321313281422
bach,23,79.72343641211364,72.48061793829663
bach,24,78.43255589189044,76.8682872802883
bach,25,78.19059628988846,77.48238715589663
bach,26,78.66321283029191,74.82003740817213
bach,27,78.04882133589547,74.84379760911942
bach,28,74.64565319187176,73.81601891592815
bach,29,75.51410307506319,74.2946994706174
bach,30,76.93165063527745,74.75778165993098
bach,31,76.55714647005102,76.6182440074046
bach,32,79.14540609364153,75.3342363856523
bach,33,76.0984336508692,76.8000132966152
bach,34,78.8141150859286,72.30572640435145
bach,35,75.50335327070475,77.1525336318717
bach,36,82.97793269730832,77.23639417781912
bach,37,78.03912399025205,77.4883584640497
bach,38,78.82202627245296,78.70935738521729
bach,39,75.64210660853338,76.05717374680455
bach,40,76.21767226968265,77.36649164583997
bach,41,78.34089989822763,72.13197607916896
bach,42,79.3657346003735,73.71518279226568
bach,43,76.29614369067905,74.74358352966239
bach,44,81.60529965394396,77.22533927745594
bach,45,80.6714406174786,77.29476959473965
bach,46,79.32699354493826,76.99641043269307
bach,47,77.71668666497928,77.24068199053005
bach,48,73.88820436253563,75.18885679643901
bach,49,73.76877732778259,75.26460894800758
bach,50,79.24985154508909,76.34917527033296
bach,51,74.74297666953767,76.0041832363935
bach,52,78.50200446905254,76.50910374848745
bach,53,81.27690599003637,75.8834011584194
bach,54,79.59908879371483,77.53292823639391
bach,55,79.8472316101842,73.99352617344567
bach,56,77.48871999724798,76.77697533256483
bach,57,76.7673590616658,75.7618213596665
bach,58,77.83822746370697,76.84115518116992
bach,59,76.98868426598882,74.71019154306568
bach,60,74.67801485418572,72.38408823039364
bach,61,78.1408624617238,75.84302998690178
bach,62,83.12558196606574,74.5729570525158
bach,63,78.61524403103472,77.17475771281005
bach,64,75.44010942834457,74.25966393347873
bach,65,81.27383662165441,75.97255187973101
bach,66,80.89914716106095,74.14249553339616
bach,67,79.81355493525896,78.2938281920496
bach,68,72.86423675879914,75.5699073365799
bach,69,75.38938025798346,73.98109006399473
bach,70,79.25030395117822,75.17305380560909
bach,71,74.76168816834824,76.18987571424371
bach,72,73.57747350451167,76.91886040257747
bach,73,74.7483472867038,74.34403295748538
bach,74,80.1956550007235,76.08730769385153
bach,75,74.69887701329732,74.35012471019546
bach,76,77.6774434390266,74.38968114256846
bach,77,79.51900352964768,74.37136986501002
bach,78,78.83917174189723,76.40885933648067
bach,79,76.08476375055842,76.38996250141496
bach,80,77.85990507528334,74.6973593384187
bach,81,80.29560996384632,74.64873249804864
bach,82,76.82520142680411,75.65673356511222
bach,83,79.99100343985924,75.40165299381063
bach,84,75.23274869419751,77.00890151921303
bach,85,77.8599654054168,77.76611117938884
bach,86,79.24014106017972,77.03631050881617
bach,87,74.2085805341931,76.57506032230047
bach,88,76.9932729695973,77.33535535783463
bach,89,80.37186461228706,76.55671954753599
bach,90,83.3812303277888,76.11444933592341
bach,91,78.70019725110348,75.50984540432991
